epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,16373.6,1.04956,1.25237,1.3448,0.76458,0.65432,0.73975,0.51163,1.11973,1.07599,1.36615,0.004159,0.004159,0.004159
179,16449.8,1.04846,1.25169,1.34258,0.76395,0.65779,0.74089,0.51224,1.11921,1.07445,1.36549,0.004126,0.004126,0.004126
180,16526.3,1.04103,1.24208,1.33983,0.76426,0.65859,0.74181,0.51294,1.11837,1.07295,1.3645,0.004093,0.004093,0.004093
181,16602.5,1.04453,1.23756,1.3394,0.76342,0.65965,0.74268,0.51358,1.11755,1.07169,1.36341,0.00406,0.00406,0.00406
182,16678.6,1.04325,1.24148,1.33856,0.76776,0.65808,0.74301,0.51402,1.11653,1.07029,1.36227,0.004027,0.004027,0.004027
183,16754.8,1.03799,1.23577,1.33417,0.76975,0.65579,0.74355,0.51447,1.11574,1.06883,1.36134,0.003994,0.003994,0.003994
184,16831.5,1.0413,1.24113,1.3393,0.7719,0.65425,0.74423,0.51499,1.11475,1.06735,1.36028,0.003961,0.003961,0.003961
185,16907.8,1.04208,1.2325,1.33829,0.77081,0.65634,0.74476,0.51545,1.11383,1.06618,1.3592,0.003928,0.003928,0.003928
186,16983.8,1.03806,1.23804,1.33659,0.76986,0.65656,0.74479,0.51589,1.11321,1.06496,1.35849,0.003895,0.003895,0.003895
187,17059.8,1.03732,1.2372,1.33617,0.77636,0.65322,0.74493,0.51627,1.11219,1.06386,1.35751,0.003862,0.003862,0.003862
188,17135.9,1.03301,1.22785,1.32989,0.77106,0.65699,0.74539,0.51651,1.11124,1.06251,1.35648,0.003829,0.003829,0.003829
